rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
156,"spotify:track:5rb9QrpfcKFHM1EUbSIurX","USHER, Lil Jon, Ludacris","Yeah! (feat. Lil Jon & Ludacris)","LaFace Records",42,117,184,"71433"
157,"spotify:track:7AyE8MRf4dIK75mqqpks9S","Nina Chuba","Mangos mit Chili","Jive",4,150,410,"71408"
158,"spotify:track:4QNpBfC0zvjKqPJcyqBy9W","Pitbull, AFROJACK, Ne-Yo, Nayer","Give Me Everything (feat. Nayer)","Mr.305/Polo Grounds Music/J Records",49,130,50,"71221"
159,"spotify:track:1eZjzP8f13Ux1BkZw9d4A8","Die drei ???","226 - Die Spur der Toten - Teil 04","EUROPA/Sony Music Family Entertainment",159,-1,1,"71208"
160,"spotify:track:493wbuUWIdf15fVimLwglb","BILLA JOE, Geenaro & Ghana Beats","SPEED","GOLD LEAGUE/OG Scrpngang GmbH",53,113,3,"71155"
161,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",48,141,264,"71002"
162,"spotify:track:4E63weMCaNZuGPEFMnuEi8","Tate McRae","exes","RCA Records Label",34,153,124,"70832"
163,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",135,174,299,"70619"
164,"spotify:track:4sbl4SNfBkfijDEiaijhcC","1986zig","Schloss aus Sand","Chapter One",30,135,59,"70618"
165,"spotify:track:3a9TMd2Yrza6HXqqlfMtfy","GIMS","Est-ce que tu m'aimes ? - Pilule bleue","Jive Epic",93,169,54,"70533"
166,"spotify:track:5hTj3lKD0XZi6av9heuly4","Die drei ???","226 - Die Spur der Toten - Teil 03","EUROPA/Sony Music Family Entertainment",166,-1,1,"70479"
167,"spotify:track:1v7L65Lzy0j0vdpRjJewt1","Eminem","Lose Yourself","Aftermath",35,179,1330,"70395"
168,"spotify:track:6X1mehC9bJ1ExEip4HB79W","Die Prinzen","Alles nur geklaut","BMG Rights Management GmbH",84,145,19,"70269"
169,"spotify:track:4rFot42tlQR9fARDIKwLdD","Die drei ???","226 - Die Spur der Toten - Teil 02","EUROPA/Sony Music Family Entertainment",169,-1,1,"70025"
170,"spotify:track:4WC4kyZnG7TxklAKBKUaK1","Montez","„glücklich“","Herzinfucked Records",8,157,31,"69938"
171,"spotify:track:42Ztw2ZtZR3mtWjXpg0R5I","Yung Yury, Damn Yury","TABU.","5Zero",1,142,353,"69855"
172,"spotify:track:6Xd2FJRJoleP6TignKPbvn","Die drei ???","226 - Die Spur der Toten - Teil 16","EUROPA/Sony Music Family Entertainment",172,-1,1,"69653"
173,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",47,129,439,"69427"
174,"spotify:track:3B54sVLJ402zGa6Xm4YGNe","French Montana, Swae Lee","Unforgettable","Bad Boy Entertainment/Epic Records",1,195,502,"69085"
175,"spotify:track:4pik9PKvkRSSjHksYmw3X0","Die drei ???","226 - Die Spur der Toten - Teil 17","EUROPA/Sony Music Family Entertainment",175,-1,1,"69070"
176,"spotify:track:7xaqxUl08zOg0YNUHokQpq","Miksu / Macloud, t-low","Sehnsucht","Futura",1,155,721,"68844"
177,"spotify:track:7ySUcLPVX7KudhnmNcgY2D","Rihanna","S&M","Def Jam Recordings",33,158,16,"68029"
178,"spotify:track:7vOmSP2647oNUGGEhWd1cr","LXNGVX","Montagem Mysterious Game","LANGA",118,-1,32,"67763"
179,"spotify:track:2VRyhk9aiCRg1f5mY4JRJD","Die drei ???","226 - Die Spur der Toten - Teil 18","EUROPA/Sony Music Family Entertainment",179,-1,1,"67740"
180,"spotify:track:2mnkgopUgJq09Na8JXgMIh","Luciano, Mario","Love Ya (feat. Mario)","URBAN",4,148,31,"67703"
181,"spotify:track:1k1Bqnv2R0uJXQN4u6LKYt","Bill Withers","Ain't No Sunshine","Columbia/Legacy",162,-1,3,"67492"
182,"spotify:track:5Y8mnPgyb9hOJxY1M0OJdx","Sonny Wern, Lyente, Quinten Circle, ZANA","Dance For Me (1, 2, 3) - Stutter Techno","Virgin",23,159,166,"67385"
