artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
Justin Bieber,Ghost,2641055,1444706338,35,939,2641055,2023-01-01,spotify:track:6I3mqTwhRpn34SLVafSH7G,RBMG/Def Jam,2022-03-25,['Pop']
Lil Nas X,MONTERO (Call Me By Your Name),8588023,1437151704,12,513,8588023,2022-01-01,spotify:track:1SC5rEoYDGUK4NfG82494W,Columbia,2021-04-09,['Pop']
"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",5073947,1393197774,127,451,5073947,2023-06-23,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,XO / Republic Records,2024-02-01,[]
BTS,Dynamite,7778950,1392230068,1,780,7778950,2022-01-01,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BIGHIT MUSIC,2020-08-21,['Asiatische Musik']
"SAINt JHN, Imanbek",Roses - Imanbek Remix,5234607,1388097283,187,680,5234607,2022-01-01,spotify:track:0zLCBJZSiELJf02ucPP9wb,Columbia/B1 Recordings,2020-04-11,[]
The Walters,I Love You So,2139814,1377643938,174,959,2139814,2023-01-01,spotify:track:4SqWKzw0CbA05TGszDgMlc,Warner Records,2022-02-09,"['Alternative', 'Pop', 'Rock', 'Indie Rock/Rock Pop']"
"24kGoldn, iann dior",Mood (feat. iann dior),6367748,1377155348,185,626,6367748,2022-01-01,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,Records/Columbia,2020-09-18,"['Alternative', 'Pop']"
"Lady Gaga, Bruno Mars",Die With A Smile,11621474,1377146202,10,138,11621474,2024-08-16,spotify:track:2plbrEY59IikOBgBGLjaoe,Interscope,2024-09-27,['Pop']
Lord Huron,The Night We Met,3221586,1375933328,51,883,3221586,2023-01-09,spotify:track:3hRV0jL3vUpRrcy398teAU,Play It Again Sam,2024-09-13,['Alternative']
Maroon 5,Memories,4917468,1370419937,32,889,4917468,2023-01-12,spotify:track:4cktbXiXOapiLBMprHFErI,Interscope Records*,2019-10-30,['Pop']
Ed Sheeran,Bad Habits,6008275,1350227445,7,550,6008275,2023-01-01,spotify:track:6ex1Pz3pntgy4NPtxHXN2V,Atlantic Records UK,2021-07-16,['Pop']
Teddy Swims,Lose Control,5154184,1337541555,198,412,5154184,2023-11-10,spotify:track:17phhZDn6oGtzMe56NuWvj,Warner Records,2024-03-22,['Pop']
Coldplay,Viva La Vida,2811786,1333434002,194,857,2811786,2023-01-01,spotify:track:1mea3bSkSGXuIRvnydlB5b,Parlophone UK,2024-07-02,['Rock']
"FloyyMenor, Cris Mj",Gata Only,8628580,1331568534,173,324,8628580,2024-02-10,spotify:track:6XjDF6nds4DE2BBbagZol6,FloyyMenor under exclusive license to UnitedMasters LLC,2024-04-19,['Latin Musik']
The Police,Every Breath You Take,2511962,1328720495,148,1175,2511962,2023-01-01,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,Polydor Records,2024-12-31,['Pop']
"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),8853020,1326989045,15,397,8853020,2023-01-01,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Capitol Records UK / EMI,2022-09-23,[]
"Doja Cat, SZA",Kiss Me More (feat. SZA),5731381,1312730513,10,551,5731381,2023-01-01,spotify:track:3DarAbFujv6eYNliUTyqtz,Kemosabe Records/RCA Records,2021-05-21,['Pop']
Mitski,My Love Mine All Mine,4862101,1305382271,189,468,4862101,2023-09-19,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Dead Oceans,2024-01-16,['Alternative']
Travis Scott,goosebumps,3297928,1305300926,56,1888,3297928,2023-12-27,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Cactus Jack / Epic,2020-04-25,['Rap/Hip Hop']
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),3276823,1296149517,129,668,3276823,2023-04-10,spotify:track:7KA4W4McWYRpgf0fWsJZWB,Columbia,2024-10-30,['Rap/Hip Hop']
"Rema, Selena Gomez",Calm Down (with Selena Gomez),3895947,1293111640,98,572,3895947,2023-01-01,spotify:track:0WtM2NBVQNNJLh6scP13H8,Mavin Records / Jonzing World,2023-01-27,[]
Bruno Mars,Locked out of Heaven,2951846,1290554810,195,926,2951846,2023-01-02,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Atlantic Records,2024-11-08,['Pop']
Queen,Bohemian Rhapsody - Remastered 2011,1952533,1279235278,10,1476,1952533,2023-01-01,spotify:track:4u7EnebtmKWzUH433cf5Qv,EMI,2019-03-02,['Rock']
