rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,year-month,genres
41,spotify:track:3S68RFe1lsdCdTMPIMJM3X,"Pharrell Williams, 21 Savage, Tyler, The Creator",Cash In Cash Out,Columbia,41,-1,1,1944309,2022-06-10,2022-06,['Hip Hop']
6,spotify:track:69xohKu8C1fsflYAiSNbwM,BTS,Run BTS,BIGHIT MUSIC,6,-1,1,5477304,2022-06-10,2022-06,"['Asian Music', 'Hip Hop']"
11,spotify:track:4JzCFEc3O2UEdjKzevvFH5,BTS,For Youth,BIGHIT MUSIC,11,-1,1,3675718,2022-06-10,2022-06,['Asian Music']
16,spotify:track:1IthE5GNiRzFN5CVaCa445,BTS,Born Singer,BIGHIT MUSIC,16,-1,1,3434880,2022-06-10,2022-06,"['Asian Music', 'Hip Hop']"
103,spotify:track:17AFcTj1bj9qhWrHbsLDSb,BTS,Boy in Luv,BIGHIT MUSIC,103,-1,1,1260792,2022-06-10,2022-06,"['Asian Music', 'Pop', 'Hip Hop']"
93,spotify:track:10xV5l9nhLvFpR8mqzs0bL,"Marshmello, Khalid",Numb,Joytime Collective/RCA Records,93,-1,1,1323276,2022-06-10,2022-06,"['R&B/Soul', 'Electronic']"
59,spotify:track:6kxaaIeowajN7w21PfMLbu,Halsey,So Good,Capitol Records,59,-1,1,1635208,2022-06-10,2022-06,"['Rock', 'Alternative/Indie', 'Electronic', 'Pop']"
69,spotify:track:6GoFIkTKX9CIGgM9APx5UB,BTS,No More Dream,BIGHIT MUSIC,69,-1,1,1565935,2022-06-10,2022-06,"['Asian Music', 'Hip Hop']"
195,spotify:track:1b0aDgrG775i4sPQgJGmkU,Keisya Levronka,Tak Ingin Usai,PT. Universal Music Indonesia,195,-1,1,755444,2022-06-12,2022-06,['Pop']
15,spotify:track:0oiv4E896TUTTeQU0cmIui,Drake,Massive,OVO,15,-1,1,4222964,2022-06-17,2022-06,"['Electronic', 'Pop']"
14,spotify:track:7sT7kZEYd1MrmzLLIRVZas,Drake,Calling My Name,OVO,14,-1,1,4306267,2022-06-17,2022-06,"['R&B/Soul', 'Electronic', 'Hip Hop']"
13,spotify:track:7IaeavdRzXYQWfu2Wt5GlU,Drake,Currents,OVO,13,-1,1,4461510,2022-06-17,2022-06,"['Electronic', 'Pop']"
12,spotify:track:0nAZGkBGKQCXyaoSJfRhC1,Drake,A Keeper,OVO,12,-1,1,4570242,2022-06-17,2022-06,"['R&B/Soul', 'Electronic']"
11,spotify:track:5lVmzrKaqPpPYtF7udoiNq,Drake,Intro,OVO,11,-1,1,4766148,2022-06-17,2022-06,"['Electronic', 'Hip Hop', 'Jazz']"
9,spotify:track:4rmVZajAF7PkrCagGPHbqa,Drake,Sticky,OVO,9,-1,1,5153548,2022-06-17,2022-06,"['Pop', 'Electronic', 'Hip Hop']"
7,spotify:track:7a5fliY9SsZENrQWQBZron,Drake,Texts Go Green,OVO,7,-1,1,5481655,2022-06-17,2022-06,"['R&B/Soul', 'Electronic', 'African Music']"
3,spotify:track:5zyZM1EiSqrniyqtprwxpv,Drake,Falling Back,OVO,3,-1,1,7301677,2022-06-17,2022-06,"['R&B/Soul', 'Electronic', 'African Music']"
